UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
    381.00000000	      7.62000000	      0.02718032	      0.02523105
    382.00000000	      7.64000000	      0.02703202	      0.02542581
    383.00000000	      7.66000000	      0.02690800	      0.02558631
    384.00000000	      7.68000000	      0.02680995	      0.02571217
    385.00000000	      7.70000000	      0.02673861	      0.02580343
    386.00000000	      7.72000000	      0.02669411	      0.02586032
    387.00000000	      7.74000000	      0.02667632	      0.02588307
    388.00000000	      7.76000000	      0.02668515	      0.02587177
    389.00000000	      7.78000000	      0.02672065	      0.02582639
    390.00000000	      7.80000000	      0.02678297	      0.02574671
    391.00000000	      7.82000000	      0.02687208	      0.02563250
    392.00000000	      7.84000000	      0.02698750	      0.02548363
    393.00000000	      7.86000000	      0.02712790	      0.02530032
    394.00000000	      7.88000000	      0.02729077	      0.02508331
    395.00000000	      7.90000000	      0.02747234	      0.02482882
    396.00000000	      7.92000000	      0.02766760	      0.02453444
    397.00000000	      7.94000000	      0.02787067	      0.02420751
    398.00000000	      7.96000000	      0.02807532	      0.02385999
    399.00000000	      7.98000000	      0.02827544	      0.02349959
    400.00000000	      8.00000000	      0.02846563	      0.02313514
    401.00000000	      8.02000000	      0.02864148	      0.02277626
    402.00000000	      8.04000000	      0.02879976	      0.02243287
    403.00000000	      8.06000000	      0.02893837	      0.02211471
    404.00000000	      8.08000000	      0.02905618	      0.02183079
    405.00000000	      8.10000000	      0.02915285	      0.02158892
    406.00000000	      8.12000000	      0.02922854	      0.02139504
    407.00000000	      8.14000000	      0.02928367	      0.02125270
    408.00000000	      8.16000000	      0.02931875	      0.02116263
    409.00000000	      8.18000000	      0.02933416	      0.02112344
    410.00000000	      8.20000000	      0.02933012	      0.02113368
    411.00000000	      8.22000000	      0.02930656	      0.02119381
    412.00000000	      8.24000000	      0.02926320	      0.02130554
    413.00000000	      8.26000000	      0.02919958	      0.02146956
    414.00000000	      8.28000000	      0.02911521	      0.02168398
    415.00000000	      8.30000000	      0.02900974	      0.02194419
    416.00000000	      8.32000000	      0.02888320	      0.02224338
    417.00000000	      8.34000000	      0.02873622	      0.02257318
    418.00000000	      8.36000000	      0.02857032	      0.02292421
    419.00000000	      8.38000000	      0.02838804	      0.02328661
    420.00000000	      8.40000000	      0.02819312	      0.02365051
    421.00000000	      8.42000000	      0.02799041	      0.02400657
    422.00000000	      8.44000000	      0.02778566	      0.02434640
    423.00000000	      8.46000000	      0.02758508	      0.02466157
    424.00000000	      8.48000000	      0.02739484	      0.02493961
    425.00000000	      8.50000000	      0.02722051	      0.02517759
    426.00000000	      8.52000000	      0.02706660	      0.02538072
    427.00000000	      8.54000000	      0.02693636	      0.02554976
    428.00000000	      8.56000000	      0.02683177	      0.02568421
    429.00000000	      8.58000000	      0.02675379	      0.02578403
